question_id,answer
10,true
6,true
4,true
3,true
7,false
8,true
1,true
5,true
9,true
2,true
21,true
11,false
22,true
14,false
13,true
17,true
24,false
26,true
12,true
25,true
15,true
23,true
16,true
20,true
18,true
19,false
27,false
35,true
41,true
33,true
31,true
32,true
39,true
34,true
40,true
37,true
28,true
42,true
30,true
29,true
43,true
38,true
48,true
51,false
47,true
55,true
45,true
44,true
50,true
46,true
53,true
49,false
54,true
58,true
56,true
57,true
52,true
60,false
59,true
64,true
72,false
62,true
61,true
71,true
67,false
69,true
63,true
65,true
68,false
66,true
70,true
73,true
75,true
74,true
78,false
76,true
79,false
81,true
77,false
85,false
80,true
88,false
36,true
84,false
86,true
82,true
83,false
87,true
89,false
90,false
91,false
93,true
92,false
94,false
99,true
101,true
95,true
98,false
104,true
102,false
100,true
105,false
106,true
107,true
96,true
103,true
108,true
109,true
97,true
111,true
113,true
112,false
117,true
110,true
118,true
115,true
114,true
116,false
119,false
120,true
127,true
126,true
130,false
131,true
124,true
128,true
136,true
121,false
123,true
133,true
132,false
134,true
135,true
125,true
122,true
129,true
137,true
145,true
140,true
147,true
144,true
138,true
146,true
139,true
148,false
143,false
150,false
149,true
142,false
151,true
141,true
153,false
156,true
158,false
155,false
152,true
160,true
159,true
165,false
161,true
154,false
162,false
157,true
166,false
164,true
167,true
170,true
163,true
169,true
168,false
173,true
172,true
179,true
178,false
177,false
171,true
183,true
180,true
184,true
182,true
174,true
186,true
181,true
187,true
176,true
185,false
188,true
175,true
190,true
189,true
198,true
194,true
193,false
197,true
196,true
203,true
192,false
202,true
199,true
191,false
200,true
204,true
201,false
205,false
208,true
195,false
207,true
211,true
209,false
210,true
213,true
214,true
212,true
215,true
206,true
218,true
216,false
222,true
219,true
225,false
220,true
221,false
223,true
224,true
217,true
226,true
231,true
229,true
232,true
233,true
227,true
230,true
228,true
234,true
237,true
236,false
248,true
240,true
239,true
246,true
235,true
241,true
247,false
242,true
244,true
249,true
250,true
238,true
243,true
245,true
253,true
256,true
254,true
261,true
263,true
252,true
257,false
251,true
259,true
260,true
262,true
264,true
266,true
275,true
265,false
269,false
255,true
258,true
267,true
276,false
272,false
273,true
270,true
271,true
279,false
268,true
282,true
283,false
277,false
278,true
274,true
288,true
284,false
287,true
280,true
289,true
281,true
291,true
294,true
297,true
285,false
293,true
286,true
292,true
290,false
295,true
304,false
303,true
296,true
298,true
305,true
309,true
308,true
302,true
299,true
300,true
301,true
311,true
306,true
307,true
314,true
310,true
317,true
312,true
322,true
320,true
318,true
325,true
313,true
319,true
323,true
316,true
321,false
315,true
329,true
327,false
324,true
326,true
330,true
328,true
335,true
332,true
336,false
331,true
340,true
333,true
334,true
338,true
341,true
344,true
337,true
343,true
352,true
349,true
351,true
346,true
345,true
339,true
350,true
353,true
342,true
347,true
354,true
356,true
358,true
348,true
355,true
359,true
360,true
363,true
361,true
367,false
357,true
364,true
366,true
368,true
365,true
373,false
370,true
371,true
372,true
369,true
374,true
377,true
376,false
380,true
362,true
381,true
378,true
379,false
383,true
387,true
388,true
385,true
375,true
391,true
382,true
392,true
389,true
394,true
384,true
390,true
386,true
395,false
396,false
393,true
402,true
404,true
403,true
398,true
399,true
407,true
406,true
397,true
409,true
400,true
410,true
408,true
401,true
411,true
417,false
414,true
415,false
416,true
418,true
405,true
413,true
424,true
425,false
419,true
423,true
420,true
412,true
421,true
427,true
432,true
428,true
430,true
431,true
436,true
437,true
426,true
422,true
434,true
429,true
433,true
435,false
438,true
440,true
439,false
442,true
445,true
446,false
444,false
443,true
441,false
451,true
456,true
449,true
454,false
455,true
450,false
457,true
447,true
448,false
452,false
460,true
453,true
458,true
462,false
459,true
461,true
467,false
473,false
465,true
471,true
466,true
469,true
468,true
475,true
474,true
472,false
476,true
463,true
464,false
478,true
470,false
479,true
484,true
477,true
480,true
486,true
487,true
483,true
485,true
490,true
481,false
493,false
496,true
491,true
488,false
497,false
492,true
499,true
498,true
494,true
482,true
495,true
489,true
503,true
501,false
507,true
506,true
504,true
508,true
500,false
510,true
505,false
512,true
509,true
514,true
513,true
516,true
502,true
515,true
517,true
522,true
519,true
511,true
518,true
520,true
521,true
523,true
526,true
528,true
527,false
531,true
530,true
532,true
533,true
524,true
536,false
525,true
540,true
534,false
538,true
529,true
535,false
545,true
544,true
542,true
539,false
547,true
546,true
549,true
553,true
537,true
541,true
552,true
543,true
555,true
556,true
554,false
559,false
551,true
548,true
550,true
561,true
560,true
557,true
563,true
565,true
567,true
564,true
562,true
558,true
568,true
569,true
566,true
571,true
575,false
570,true
574,true
580,true
578,true
577,true
584,false
576,true
582,true
583,true
585,false
581,true
586,true
573,true
588,true
589,true
579,true
572,false
587,true
590,false
591,true
593,true
594,true
592,false
597,false
595,true
596,true
598,true
603,true
599,false
600,true
606,true
601,true
602,true
605,false
607,true
604,true
608,true
612,true
613,true
609,true
611,false
610,true
615,true
614,true
617,true
616,true
620,true
619,false
622,true
621,false
623,true
618,false
627,false
624,false
625,true
630,false
626,false
631,true
628,true
629,true
632,false
633,false
634,true
636,false
635,false
640,true
639,false
637,true
642,false
643,true
638,true
641,true
644,false
646,true
649,true
648,true
645,false
650,false
655,true
647,true
653,false
651,false
659,false
656,true
654,true
652,true
658,true
657,true
661,false
662,true
660,true
663,false
667,false
668,true
666,true
676,true
664,false
672,false
665,true
669,true
674,true
673,false
675,true
678,true
671,true
670,false
677,true
679,true
683,true
680,true
684,true
681,true
682,true
690,false
692,false
691,true
685,true
687,true
695,false
688,true
686,true
694,true
689,true
693,true
696,false
701,true
697,false
699,true
705,true
698,true
700,false
704,false
702,true
710,true
703,true
709,true
711,true
712,true
707,true
708,true
706,true
713,true
714,true
715,true
719,true
716,true
727,true
721,false
717,true
723,true
720,true
722,true
724,true
718,true
730,false
725,true
726,true
729,true
728,true
734,true
733,true
732,false
735,false
731,false
